Sr. No.	News Items	Label
1	?? ?? ?? ?? ????? ????? ?? ???? ????? ?? ???? ?? ?????? ????? ?? ????? ?? ???	FAKE
2	???? ?????? ????? ??? ??? ?? ??? ??? ????	FAKE
3	????? ???? ?? ???? ??? ?? ??????? ?? ????? ???	FAKE
4	???? ?????: ??? ????? ????? ????? ?? ???? ?????? ?? ???? ??? ??????? ??? ???? ?? ????? ???	FAKE
5	??? ????? ?? ????? ?? ???? ???? ???? ?????? ??? ????? ?? ???? ?? ??????? ?? ????? ???	FAKE
6	???? ???? ?? ????? ????? ?? ??? ?? ????? ??? ????? ???? ?? ??? ????	FAKE
7	?? ??? ?? ?? ’???? ????‘ ????? ????? ?? ?????- ????? ???????	FAKE
8	 CPEC  ?? ???? ??? ?????? ???????	FAKE
9	?????? ?? ??????? ?? ???? ?????? ????? ?? ?????? ??? ??? ??? ????? ?? ??????? ???? ?????? ?? ?? ???? ??? ???	FAKE
10	??????? ?? ???? ??????? ??? ???? ?? ?????? ???? ?? ???? ?????? ???????? ?? ???	FAKE
11	?????? ????? ?? ????? ?? ?? ?? ??? ?? ???? ???? ????? ???? ????	FAKE
12	???? ??????? ??? ?????? ????? ?? ???? ????? ?? ????	FAKE
13	???? ???? ????? ???? ?? ????? ???? ???? ???????? ????	FAKE
14	????? ????? ?? ???????? ???? ???? ?? ?? ??? ?? ???? ???? ?? ????? ?? ????? ????	FAKE
15	??????? ????? ????? ?? ??? ?? ???????? ???? ???	FAKE
16	?? ?? ???? ??? ?? ???? ??? ???? ???: ???? ?? ?? ?? ????? ?? ???? ????? ??? ?????	FAKE
17	??????? ?? ????? ???? ?? ?????? ????	FAKE
18	?? ??? ???? ?? ????? ?? ????? ????? ????? ?? ???? ???	FAKE
19	??????? ????? ?? ???? ?? ?? ????? ????? ??????? ??? ?????	FAKE
20	???? ??? ????? ?? ???? ????????? ???? ?? ???? ?? ????? ???? ?????	FAKE
21	?? ??? ?? ?? ?? ?????? ?? ???? ?? ?? ?? ?? ?? ???? ????? ?? ?? ?? ??? ?????? ???	FAKE
22	"??? ???? ?? ???? ????? ?????? ????? ????"	FAKE
23	???? ????? ?? ??? ?? ?????? ?? ?? ?? ???? ???? ?????	FAKE
24	?????? ??????? ???? ????? ?? ???? ????? ?? ??????? ?? ????? ????	FAKE
25	????? ??????? ?????? ?? ???? ??? ?? ??????? ?? ????? ???	FAKE
26	???????? ?????? ?? ???? ????? ?? ??? ?????? ?? ????? ???	FAKE
27	???? ???? ???? ?? ?????? ????? ?? ???? ????? ???? ???? ?? ??? ???	FAKE
