Sr. No.,News Items,Label
1,"دہلی میں جلد ہی 24×7 مال، تجارتی علاقوں میں کھانے پینے کی جگہیں ہو سکتی ہیں اگر کجریوال کی AAP واپس آتی ہے",TRUE
2,بی جے پی مسلسل ہاردک پٹیل کو ہراساں کر رہی ہے: کانگریس لیڈر پرینکا گاندھی واڈرا,TRUE
3,کیرالہ اور پنجاب کے بعد مہاراشٹرا بھی سی اے اے کے خلاف قرارداد پر غور کر رہا ہے۔,TRUE
4,AAP کے جگدیپ سنگھ نے دہلی انتخابات میں ٹکٹ نہ ملنے کے بعد پارٹی چھوڑ دی۔,TRUE
5,یوپی کے سی ایم یوگی آدتیہ ناتھ کے قریبی ساتھی سنیل سنگھ سماج وادی پارٹی میں شامل ہو گئے۔,TRUE
6,مودی حکومت کے وزراء کشمیری سیاست دانوں سے مل سکتے ہیں جو ’ابھرتے ہوئے محاذ‘ کا حصہ ہیں۔,TRUE
7,سی اے اے کی مخالفت کرنے والے دانشور شیطان اور طفیلی ہیں: مغربی بنگال بی جے پی کے صدر دلیپ گھوش,TRUE
8,ہماچل پردیش کے سابق وزیر راجیو بندل کو ریاستی بی جے پی کا سربراہ نامزد کیا گیا ہے۔,TRUE
9,بی جے پی نئی دہلی سیٹ سے اروند کیجریوال سے مقابلہ کرنے کے لیے امیدوار کی تلاش میں ’جدوجہد‘ کر رہی ہے۔,TRUE
10,"بی جے پی اور پون کلیان نے اتحاد کا اعلان کیا، آندھرا میں ’تیسرے متبادل‘ کے طور پر ابھرے۔",TRUE
11,سہراب گوٹھ میں پولیس اہلکاروں کو شہید کرنے والا ملزم مقابلے میں ہلاک,TRUE
12,"کراچی: معاشی ماہرین اور بزنس کمیونٹی نے پاکستان کے آئی ایم ایف کے ساتھ معاہدے کو انتہائی مثبت پیشرفت قرار دیدیا۔جیونیوز سے گفتگو کرتے ہوئے معروف بزنس مین امین ہاشوانی نے کہا کہ ڈیفالٹ کا خطرہ ٹل گیا ہے اور ڈیفالٹ کا خطرہ ٹلنے پروزیراعظم کوکریڈٹ دینا چاہیے، پاکستان ڈیفالٹ کے قریب تھا اور اگلے تین سے 6 ماہ میں ڈیفالٹ ہوسکتے تھے۔",TRUE
13,ماہرین صحت نے بچوں کے لیے مصنوعی دودھ پربھاری ٹیکس لگانے کا مطالبہ کردیا۔وفاقی وزارت صحت کی جانب سے  اراکین پارلیمنٹ کے لیے آگاہی سیشن رکھا گیا جس میں صرف ایک سینیٹر سحرکامران نے شرکت کی۔سینیٹر سحرکامران کا کہنا تھا کہ سگریٹ کی طرح فارمولا ملک  پر بھی  بھاری ٹیکس لگایا جانا چاہیے۔,TRUE
14,"شمالی وزیرستان: سیکیورٹی فورسز اور دہشتگردوں میں فائرنگ، ایک دہشتگرد ہلاک",TRUE
